user_id,book_idx,rating
837,2360,3
1756,9512,1
4185,5817,4
1341,17,3
1127,756,5
957,473,4
2187,99,3
4567,443,5
2649,88,5
220,950,4
2344,115,3
3856,4796,2
4909,3406,4
2172,1721,5
3276,3352,4
3161,1361,3
1285,315,3
4649,23,3
399,756,4
2013,1277,3
4494,21,2
723,43,3
926,3649,4
2088,1691,5
303,3762,4
253,1004,5
366,3674,3
339,537,3
4426,545,3
1645,45,5
3640,1148,4
345,3836,4
929,69,5
70,153,4
3250,401,4
253,147,5
1343,2354,5
3599,23,5
782,232,5
1818,1204,4
1913,6,5
4337,40,4
1709,1656,2
3598,66,5
3903,224,3
3888,124,4
3805,85,4
2446,3277,3
3788,93,5
2156,32,4
3904,5076,3
4920,2052,5
36,886,3
4159,6,3
1341,20,4
4787,20,5
2920,92,5
3499,8463,5
2229,3612,5
1927,5342,1
2605,246,5
4314,96,5
2225,682,4
3100,76,3
226,1134,4
871,2033,3
3227,20,3
2890,5018,5
3592,522,4
1173,732,4
399,305,1
1334,2189,5
1782,6124,5
3233,5776,5
22,7629,5
1411,126,2
4505,4727,5
1075,856,5
4473,10,4
3709,2497,3
1627,2283,3
4611,6779,3
4950,86,2
1074,2311,4
476,3475,4
3080,2657,3
4771,1020,4
4562,1529,5
2710,2922,3
3975,4890,5
3307,5477,3
3935,9605,4
4364,94,1
923,74,2
4591,2135,5
4804,28,3
1193,23,5
2466,23,1
3955,322,3
2903,5143,4
4147,338,5
2247,180,5
345,34,4
2414,6674,3
3975,798,4
444,7951,2
897,598,4
2437,179,4
1220,699,3
3453,124,5
4315,83,2
2283,1751,3
4560,2050,4
158,738,5
10,211,2
3544,78,5
4880,4871,3
1160,1784,3
1630,769,4
4292,661,5
3410,100,4
1449,81,3
3870,37,5
3410,349,5
3635,25,3
3591,428,2
209,7078,4
4295,2314,4
3828,280,3
1820,615,3
516,575,4
610,8385,4
1526,1713,3
1209,221,4
2619,1233,4
1257,54,4
542,735,5
4829,4712,5
3124,10,4
4047,4300,3
2595,5096,4
4542,2439,4
3256,286,5
2048,166,5
3375,7265,2
126,69,5
2210,3078,5
2922,79,5
3878,4,5
4259,7289,4
3109,160,5
3253,6614,3
1381,489,5
2038,7596,5
3769,247,4
1354,4486,4
3254,406,3
3912,8456,3
4443,2256,2
2832,619,5
4223,1221,4
3848,3361,4
2285,467,5
2927,4041,4
2449,608,4
2954,210,3
2300,2196,3
1448,1675,4
1649,2214,5
3425,120,4
1126,269,5
4124,1855,4
1537,1,4
3711,286,4
4498,4235,4
4029,3023,4
86,2026,3
721,64,5
1220,539,4
1079,1298,4
448,177,4
1325,6001,3
3858,153,3
2835,3579,4
215,1713,4
4200,470,1
4003,3197,5
3545,794,4
1595,4814,2
4008,54,3
2254,53,5
1075,101,4
3749,86,5
1331,7680,3
3593,64,4
4207,853,4
3970,32,5
573,305,3
2602,373,4
4183,1502,5
1883,269,5
1014,2055,3
1089,17,2
2478,3138,4
4803,4972,3
2057,1380,5
880,4514,5
4846,92,4
4257,25,5
499,8078,5
3582,2320,4
1489,399,4
3713,792,4
3901,9405,4
1291,7088,4
884,167,4
1762,8734,2
1762,159,4
1948,7478,4
1514,247,3
1634,1459,3
710,193,5
1353,5499,4
637,850,3
3306,112,5
4265,4046,5
1357,729,4
1081,7428,4
4791,1488,5
3828,9404,1
4792,79,5
250,1264,5
2819,4,3
335,1310,3
999,428,3
3415,3500,4
383,2027,2
1465,1235,3
2407,1979,4
3903,954,4
2965,9,5
746,772,4
2554,1311,3
3054,864,4
1499,952,4
255,62,2
3132,171,4
4421,186,5
4067,22,5
778,12,5
3713,3933,5
3687,1396,5
383,2260,5
503,1446,5
3472,76,4
2657,6183,5
4505,2234,5
4561,3761,5
3178,1708,4
3356,8494,5
4291,8255,3
206,1379,5
566,1385,4
5239,23,5
2247,6,4
1283,470,4
812,1992,2
1686,1675,4
1087,1824,4
4664,3779,2
1709,569,4
2201,805,3
3943,34,4
1501,515,5
4234,4,4
1989,113,2
1847,372,4
4119,42,4
4248,49,3
2782,1387,3
2889,3196,2
2222,713,1
1259,3467,5
1143,25,2
2335,4671,4
3125,1,4
2001,9067,3
1713,2896,4
1590,3069,2
2464,1259,5
3794,738,5
4214,20,5
127,22,5
2903,7315,5
1871,188,5
979,3078,4
2809,3891,4
606,624,3
2391,507,4
3101,212,3
1175,1401,4
338,283,3
1009,9515,5
5027,3523,4
4756,7331,2
3100,233,4
3054,2276,5
2996,25,5
332,1927,3
2050,473,5
2834,3246,4
3797,4678,3
68,9,2
4756,226,4
1052,889,5
2051,6,5
2716,116,5
1499,3067,3
1032,161,5
1529,154,4
5151,2926,5
2696,81,2
4464,7,4
4076,5303,3
2094,2135,3
2513,594,4
440,1844,3
1117,2336,3
42,273,5
2707,9,5
2890,1502,3
2268,4871,4
1550,735,3
2875,20,4
1396,49,3
2276,2943,4
605,416,4
1430,84,4
935,546,2
26,7261,5
2381,6558,4
1302,4608,3
802,25,3
3767,24,4
3970,224,5
4211,3503,3
1758,601,4
4289,2006,3
2112,4524,3
3480,665,4
1873,44,2
3048,1018,5
2715,740,2
1102,482,4
3350,190,5
2522,330,3
2094,4649,4
3856,45,5
1122,8914,4
2728,416,2
4779,2158,5
2034,2708,4
393,5237,4
3928,94,4
298,507,4
4829,226,3
2705,69,4
4931,46,5
642,233,2
3393,2,1
2396,1401,4
978,9005,5
2927,998,5
1696,1104,2
1116,9644,5
2497,360,4
3243,14,3
3288,2535,3
1153,1249,3
1823,8,3
4057,26,5
4329,283,3
1144,1824,3
15,3339,5
1876,59,5
303,3675,5
4869,447,5
1634,406,4
4929,102,5
1131,3123,5
1005,794,3
17,1825,5
4975,467,2
3340,5741,4
1701,1410,4
4196,51,4
1933,7270,4
2534,4030,5
4059,3579,5
3508,2124,5
1329,1953,3
4089,146,1
3265,1022,5
3960,6438,3
4926,3917,1
4379,3394,5
446,256,4
4838,1464,5
2424,3027,4
4779,45,5
3949,721,3
3100,9,5
3828,7325,3
2571,1499,3
4371,1366,5
1544,348,3
4160,7796,2
3842,1754,4
2835,8444,5
1221,227,3
2080,9565,5
2966,581,4
682,2700,3
2670,7793,4
879,8151,3
240,3996,5
613,2212,3
1219,3906,5
947,309,4
4847,2313,1
3179,135,1
1306,8213,4
108,4739,4
2294,22,4
797,178,2
2298,5268,3
4577,3989,3
3453,456,5
2844,49,3
2931,8525,5
2149,4017,4
699,1502,3
4788,1641,5
745,1004,3
3261,4677,4
4387,57,4
463,1637,5
698,114,5
4207,44,4
4100,406,4
639,210,5
731,438,4
214,5753,5
2272,4972,4
413,32,4
4473,283,3
613,3607,2
2501,3791,3
2858,729,2
3269,406,4
3741,147,5
1619,8491,5
3508,2466,5
3180,122,5
1474,1138,3
2927,320,5
2227,5243,5
4514,638,3
4974,3010,1
3377,404,5
142,6155,4
1915,9,5
4378,172,2
1642,135,3
2914,3339,4
4426,573,4
1160,657,5
2023,429,5
4327,400,4
832,6647,4
109,6480,4
2642,1254,4
923,8728,4
1518,23,4
335,700,4
4057,641,5
5202,568,4
3856,2149,3
4080,129,3
5061,1013,4
1068,818,2
4047,594,4
808,8814,5
1823,7,5
3113,71,3
1232,231,4
3428,172,4
2319,1282,3
530,719,3
1077,1074,2
2238,66,5
3398,2673,4
750,762,3
2829,27,5
3052,404,3
2967,4814,4
1851,85,3
311,3070,3
4953,6173,4
4953,2378,4
3982,1525,4
1040,100,3
3603,9627,4
903,172,3
3476,3097,4
2647,875,3
3204,628,1
2078,5539,2
2348,471,5
627,20,4
3112,1529,3
1763,2014,1
4815,160,3
3940,621,4
2929,2861,4
1578,71,2
3665,386,2
337,708,4
1630,130,3
3186,8398,3
183,4417,4
2493,729,3
247,1183,3
2397,1184,4
4119,5012,3
4468,3836,4
4205,1223,4
997,137,5
3546,75,5
4454,232,3
636,528,5
3269,514,4
618,1260,2
361,77,2
1779,46,5
2118,12,4
897,387,2
2185,5398,4
4283,6691,4
3603,5447,4
4827,512,3
491,1581,4
2597,3597,5
255,9,3
769,854,4
2967,1842,4
1123,154,3
3246,170,3
607,1088,4
4051,2311,4
3684,1318,3
4140,63,4
2460,4120,5
1482,376,4
345,545,4
4540,4923,5
2884,112,5
2467,2631,4
3623,51,4
2103,541,4
3955,2614,3
832,1311,5
746,20,5
1074,27,3
1698,882,3
2414,425,3
1403,130,4
1235,135,4
3614,342,4
4781,335,3
2365,3928,5
5209,42,5
835,556,4
3447,692,5
335,803,5
1087,9238,4
3628,9,4
1819,3305,5
4451,410,4
3389,275,3
4924,2622,5
1507,153,5
717,54,5
923,9,2
1037,23,4
1024,6875,4
2228,662,5
300,589,3
1167,2269,3
1991,62,4
4504,18,5
3276,3642,5
3678,503,4
328,131,4
4843,2187,4
4357,8817,5
2577,355,1
136,2052,5
4226,2276,4
1892,335,5
4119,884,4
5205,2055,3
1462,13,5
1176,3627,5
1512,10,5
2967,86,5
4152,179,5
2345,1872,5
2761,491,3
4124,3757,4
2600,491,4
1285,1153,4
4072,5088,4
3493,13,4
2910,3122,3
2667,406,5
2642,7521,4
3817,425,5
3524,650,3
3365,3035,2
2087,918,1
1510,58,4
3845,35,4
4358,172,4
1549,34,4
2414,543,5
3310,13,5
1244,3363,4
4968,23,4
4234,596,5
4450,1261,4
4229,196,3
3253,5127,3
1257,477,5
1539,687,5
4556,598,4
3221,53,5
290,14,5
3484,530,4
3253,137,3
2106,570,4
2600,7393,4
2701,84,5
3634,54,4
4092,711,5
1305,6248,3
2182,692,4
920,717,5
4314,309,1
68,34,2
4233,57,5
920,4335,5
936,8727,3
1438,39,3
4829,334,3
2407,1364,4
4628,492,4
4602,6,2
3482,627,5
283,762,3
4223,4757,5
2713,668,2
385,661,4
4700,819,5
1948,7382,4
2345,177,4
1173,99,4
1508,118,4
3063,4257,5
2427,119,3
1341,2030,3
1040,3594,5
516,1116,4
1927,1825,2
885,1086,4
4664,32,5
5080,42,4
1838,66,5
1726,5422,4
1503,3427,3
3245,197,4
2106,9046,4
2260,103,4
4444,832,4
5205,63,4
1722,4080,3
2436,57,2
1765,4,4
1948,1479,4
1560,8655,5
3762,99,5
3022,491,3
2792,456,4
4789,24,5
578,4993,5
4498,1937,3
4902,2762,5
4480,3754,4
4036,2816,4
4813,124,4
885,283,5
581,4822,3
4791,7795,5
2747,246,5
1794,2786,5
5023,942,4
1557,54,3
1789,179,3
4303,1451,5
1851,742,4
614,83,4
607,2897,4
755,2551,4
2752,171,5
447,355,4
4051,7806,4
2737,28,4
1283,41,4
2288,228,5
2030,8930,3
4119,264,4
4560,353,5
3835,300,5
3424,176,5
2518,1406,4
